query,Post ID,keyword,event Date,Post Content,Post Time
美国总统选举;2016-11-09;2016-11-08;2016-11-10;50,1,美国总统选举,2016-11-09,"
		作者：王德华不可思议。“赢了”，特朗普创造了奇迹，半路出家竞选总统竟然成功了。美国总统选举初步...[米尔军事] 网页链接 ​
		",2016-11-10
美国总统选举;2016-11-09;2016-11-08;2016-11-10;50,2,美国总统选举,2016-11-09,"
		作者：王德华不可思议。“赢了”，特朗普创造了奇迹，半路出家竞选总统竟然成功了。美国总统选举初步...[米尔军事] 网页链接 ​
		",2016-11-10
美国总统选举;2016-11-09;2016-11-08;2016-11-10;50,3,美国总统选举,2016-11-09,"
		英国广播公司（BBC）11月10日发表评论文章称，刚刚结束的美国总统选举无疑是美国历史上最为不...[米尔军事] 网页链接 ​
		",2016-11-10
美国总统选举;2016-11-09;2016-11-08;2016-11-10;50,4,美国总统选举,2016-11-09,"
		发表了博文《美媒批特朗普获选总统是“噩梦”称民众已进深渊》　　【环球网报道记者李德意】北京时间11月9日，特朗普赢得2016年美国总统选举。虽然特朗普的参选在一年前曾被视作笑料，但本次选情地图竟令人“|美媒批特朗... ​
		",2016-11-10
美国总统选举;2016-11-09;2016-11-08;2016-11-10;50,5,美国总统选举,2016-11-09,"
		【中国利好】对于特朗普当选美国总统后的中美关系走向，美国《外交政策》杂志认为，特朗普当选对中国而言是个巨大的胜利，在地缘政治领域，因为特朗普毫无从政经验，其商人背景方便北京施展金钱外交将其打动。其次，在政体上，美国选举出来特朗普这样的总统再次证明了民主政体的缺陷。 ​
		",2016-11-10
美国总统选举;2016-11-09;2016-11-08;2016-11-10;50,6,美国总统选举,2016-11-09,"
		哈哈【环球网报道 记者 赵衍龙】美国总统选举成绩9日出炉,一路不被看好的共和党总统候选人特朗普战胜网页链接 ​
		",2016-11-10
美国总统选举;2016-11-09;2016-11-08;2016-11-10;50,7,美国总统选举,2016-11-09,"
		美总统竞选是在16年11月开始，获胜者将于2017年1月上任。美国总统是美利坚合众国的国家元首、政府首脑与三军统帅。据美宪法任期4年，可连任一届。总统由选举人团于选举年“间接选举”产生，在一州获得选民票最多者获得所有选举人票，建国200多年来，44任美国总统全部为男性。第45任特朗普将入主白宫， ​
			...展开全文c
",2016-11-10
美国总统选举;2016-11-09;2016-11-08;2016-11-10;50,8,美国总统选举,2016-11-09,"
		【美元在特朗普获胜后有望进一步走高 - 丹斯克银行】丹斯克银行(Danske Bank)分析师Mathias Mogensen就特朗普在周三美国总统选举中获胜对美元的影响进行分析。 网页链接 ​
		",2016-11-10
美国总统选举;2016-11-09;2016-11-08;2016-11-10;50,9,美国总统选举,2016-11-09,"
		发表了博文《特朗普赢了加拿大移民局网站被美国申请者挤爆》　　充斥丑闻和争议的2016年美国总统选举8日举行。尽管美国主流媒体和选前的各类民调普遍看好希拉里，但选民用选票表达了不同声音，70岁的特朗普赢|特朗普赢了... ​
		",2016-11-10
美国总统选举;2016-11-09;2016-11-08;2016-11-10;50,10,美国总统选举,2016-11-09,"
		特朗普任美国总统 选举直播中出现“神秘的东方力量”（分享自 @太平洋电脑网） |特朗普任美... ​
		",2016-11-10
美国总统选举;2016-11-09;2016-11-08;2016-11-10;50,11,美国总统选举,2016-11-09,"
		希拉里将成为美国第一任女总统？答案今晚揭晓！总结详细观战指南和开票时间！美东时间11月8日美国总统选举在经历一年多的“大戏风波”之后终于要落下帷幕，2016年围绕两位总统候选的各种抖尿，bug ,黑幕一次又一次地刷新着美帝小伙伴们的三观！恋童癖的克林顿、被控强奸的川普与ISIS勾结，谋财害命的 ​
			...展开全文c
",2016-11-10
美国总统选举;2016-11-09;2016-11-08;2016-11-10;50,12,美国总统选举,2016-11-09,"
		特朗普当选对中国经济影响会有多大？ -  美国总统大选最后的结果&#65292;特朗普胜选&#65292;让整个世界及市场大跌眼镜。因为&#65292;自从这轮美国总统选举以来&#65292;美国的主流民调一直 |特朗普当选... ​
		",2016-11-10
美国总统选举;2016-11-09;2016-11-08;2016-11-10;50,13,美国总统选举,2016-11-09,"
		相比于川普当选 这件事更值得互金人关注：2016年11月9日，自个体会了美国总统选举在微信朋友圈的“满屏刷”，惊奇于国人关于远在太平洋对岸对自个影响微乎其微的政治选秀如此热心，而疏忽了国内...文字版>> 网页链接 （新浪长微博>> |还在为微博...） ​
		",2016-11-10
美国总统选举;2016-11-09;2016-11-08;2016-11-10;50,14,美国总统选举,2016-11-09,"
		【美国大选特朗普赢了！】习近平致电祝贺特朗普当选美国总统，普京致电祝贺；希拉里·克林顿承认在美国总统选举中失败。 ​
		",2016-11-10
美国总统选举;2016-11-09;2016-11-08;2016-11-10;50,15,美国总统选举,2016-11-09,"
		发表了一篇转载博文《[转载](转)美国总统选举疯子川普为何能胜选？》|[转载](转)... ​
		",2016-11-10
美国总统选举;2016-11-09;2016-11-08;2016-11-10;50,16,美国总统选举,2016-11-09,"
		当地时间11月8日，美国总统选举结果诞生，70岁的特朗普当选为美国历史上第45任总统，特朗普的女儿伊万卡-特朗普也从“第一名媛”晋升为“第一女儿”。图为伊万卡-特朗普气质出众。 （分享自 @凤凰时尚） |特朗普的女... ​
		",2016-11-10
美国总统选举;2016-11-09;2016-11-08;2016-11-10;50,17,美国总统选举,2016-11-09,"
美国总统选举出人意料，有人说是平民战胜了精英。实际上美国是联邦制国家，是合众国，与美国人切身利益相关的更多的是自己这个州的州长。至于美国总统，国内事宜没多少发言权，主要表现在外交和军事上，还有上下两院制约，谁做总统都差不多。换个口味的人可能更符合现在多层次美国人的品味。 ​
		",2016-11-10
美国总统选举;2016-11-09;2016-11-08;2016-11-10;50,18,美国总统选举,2016-11-09,"
		2016美国总统大选票房结果地图　　美国总统选举初步结果揭晓，共和党总统候选人唐纳德？特朗普战胜民主党候选人、前国务卿希拉里·克林顿赢得总统选举，将成为美国第四十五任总统。这是按县划分的选情地图。 ​
		",2016-11-10
美国总统选举;2016-11-09;2016-11-08;2016-11-10;50,19,美国总统选举,2016-11-09,"
		我发表了头条文章:《奥巴马关于川普赢取美国总统选举的讲话》 |奥巴马关于... ​
		",2016-11-10
美国总统选举;2016-11-09;2016-11-08;2016-11-10;50,20,美国总统选举,2016-11-09,"
#财经晚报##晚安，财经# 【特朗普成功逆袭 爱尔兰博彩公司却“赔哭了”！】11月8日注定是一个可以载入史册的日子，美国总统选举北京时间周三落下帷幕，原本非常不被看好的特朗普在昨日票选中一路压制希拉里，最终强势逆袭，在特朗普举杯庆祝的背后，却有一些博彩公司“哭破了天”网页链接 ​
		",2016-11-10
美国总统选举;2016-11-09;2016-11-08;2016-11-10;50,21,美国总统选举,2016-11-09,"
		如果美国总统选举用斗舞来演绎，特朗普VS希拉里…这也太能搞了!#满满的套路# #川普赢了# 秒拍视频 ​
		",2016-11-10
美国总统选举;2016-11-09;2016-11-08;2016-11-10;50,22,美国总统选举,2016-11-09,"
		【日本某村：“等希拉里当上总统，就送这头叫做‘克林豚’的白猪”】 - 2ch中文网 - 9日揭晓的美国总统选举，让日本长野县乔木村的畜产品相关人员感到很遗憾。该村特产猪肉的名字是跟克林顿同音的“kurinton（克林豚）”……详情戳→网页链接 ​
		",2016-11-10
美国总统选举;2016-11-09;2016-11-08;2016-11-10;50,23,美国总统选举,2016-11-09,"
		【大数据决定了此任美国总统，但这是否偏离了选举的初衷？】当总统竞选全方位展开时，其实是在诱导选民社交圈的社会认同;曾经以“为民众赋予权力”为基础的民主制度，在对个人隐私的窥探下可能变成针对个人的行为操纵。人们以为是自己做出了选择其实是坠入了精心设计好的罗网。网页链接 ​
		",2016-11-10
美国总统选举;2016-11-09;2016-11-08;2016-11-10;50,24,美国总统选举,2016-11-09,"
		分享自CJGZSC 《[转载]美国总统选举疯子川普为何能胜选？》 - 原文地址：美国总统选举疯子川普为何能胜选？作者：熊飞骏美国总统选举疯子川普为何能胜选？  ——熊飞骏  美国第... (来自 @头条博客) -  |[转载]美国... ​
		",2016-11-10
美国总统选举;2016-11-09;2016-11-08;2016-11-10;50,25,美国总统选举,2016-11-09,"
		回复@Gary_Chan1987:政权选择往往更多的是意味着社会分裂！而不是民主！这一次的美国总统选举我们看到了美国人的政权选择，同时也看到美国的分裂！//@Gary_Chan1987:回复@中国194910:你們覺得好是你們的事，你們有權力選擇怎樣的政權和生活方式。
		",2016-11-7
美国总统选举;2016-11-09;2016-11-08;2016-11-10;50,26,美国总统选举,2016-11-09,"
	  🇹🇭️🇭🇰 |泰国·曼谷... ​
	",2016-11-10
美国总统选举;2016-11-09;2016-11-08;2016-11-10;50,27,美国总统选举,2016-11-09,"
		这次美国总统选举中的民意调查为何如此离谱？而且几乎所有民意调查机构都错得离谱？这是这次选举出现的各种现象中我最不理解的。估计很多人隐瞒了自己的真实投票意愿。川普为人太无品，很多人都不好意思说自己要支持他。
		",2016-11-10
美国总统选举;2016-11-09;2016-11-08;2016-11-10;50,28,美国总统选举,2016-11-09,"
	  【各大媒体预测踢铁板 民意调查没反映民心】特朗普爆冷当选美国总统显示，各大媒体多个月来努力收集、精心计算的民调统统错误。《纽约时报》指出，周二晚上的开票结果显示，民意调查者没觉察到广大选民早已怒气冲天。多项民调数据显示，特朗普根本没有获胜的可能，而媒体毫无怀疑的对这些数据照单全收 ​
		...展开全文c
",2016-11-10
美国总统选举;2016-11-09;2016-11-08;2016-11-10;50,29,美国总统选举,2016-11-09,"
		『都知道川普赢了，可是你真的懂美国总统选举制度吗？』|都知道川普... ​
		",2016-11-10
美国总统选举;2016-11-09;2016-11-08;2016-11-10;50,30,美国总统选举,2016-11-09,"
		发表了博文《特朗普当选对中国经济影响会有多大？(ZT）》美国总统大选最后的结果，特朗普胜选，让整个世界及市场大跌眼镜。因为，自从这轮美国总统选举以来，美国的主流民调一直显示民主党的希拉莉在90%当选的|特朗普当选... ​
		",2016-11-10
美国总统选举;2016-11-09;2016-11-08;2016-11-10;50,31,美国总统选举,2016-11-09,"
		【 美国总统选举不好玩，这个小学“模拟选举”才有趣 】2016美国总统大选年，媒体上各种信息铺开盖地，吵得不可开交。就连小学生也没闲着。上六年级的女儿小闲，这学期的社会学课，学的就是美国的宪法、政府的... |美国总统选... ​
		",2016-11-10
美国总统选举;2016-11-09;2016-11-08;2016-11-10;50,32,美国总统选举,2016-11-09,"
		发表了博文《两次参选均失败希拉里非常痛苦会持续很长时间》　　四年一度的美国总统选举9日尘埃落定。共和党总统候选人特朗普当选为第58届美国总统。　　9日大选失败的希拉里及其竞选团队在纽约市举行了败选演讲|两次参选均... ​
		",2016-11-10
美国总统选举;2016-11-09;2016-11-08;2016-11-10;50,33,美国总统选举,2016-11-09,"
		对美总统选举情绪化起哄之后，股市将回归自身的轨道。震荡。截至收盘，沪指报3171.28点，涨1.37%，创业板报2143.32点，涨0.92%。成交量方面，两市昨日成交6536亿，今日两市合计成交6543亿，与昨日持平，但沪市再度放量100亿。　　亚太股市周四全线反弹，全球市场从特朗普当选美国总统的震惊中逐渐恢 ​
			...展开全文c
",2016-11-10
美国总统选举;2016-11-09;2016-11-08;2016-11-10;50,34,美国总统选举,2016-11-09,"
#美国总统大选来了#【人民日报海外版：人民币受美国大选影响不必夸大】人民日报海外版今日（8日）刊文称，美国总统选举中影响选情的不确定事件接连出现，国际资本市场的紧张情绪也有所升温，一些唱空人民币的论调再次借机挑动市场神经。专家指出，一方面，无论谁当选，美国的经济政策都将致力于维护其 ​
		",2016-11-10
美国总统选举;2016-11-09;2016-11-08;2016-11-10;50,35,美国总统选举,2016-11-09,"
		英媒：希拉里为什么会输掉美国总统选举？|希拉里|选民|美国_新浪新闻 |英媒:希拉... ​
		",2016-11-10
美国总统选举;2016-11-09;2016-11-08;2016-11-10;50,36,美国总统选举,2016-11-09,"
		作者：王德华不可思议。“赢了”，特朗普创造了奇迹，半路出家竞选总统竟然成功了。美国总统选举初步...[米尔军事] 网页链接 ​
		",2016-11-10
美国总统选举;2016-11-09;2016-11-08;2016-11-10;50,37,美国总统选举,2016-11-09,"
		刚跟manager 1:1，他说很多人很对美国总统选举很伤心，还问我有什么看法，我忍住笑，然后严肃地说you know, I'm from China... ​
		",2016-11-10
美国总统选举;2016-11-09;2016-11-08;2016-11-10;50,38,美国总统选举,2016-11-09,"
#历史上的今天#【特朗普当选第58届美国总统】  2016年11月9日 (农历十月初十)，特朗普当选第58届美国总统。2016年11月9日电据美国媒体报道。 据美国各大电视网公布的统计结果显示，共和党总统候选人唐纳德·特朗普击败民主党总统候选人希拉里·克林顿，获得超过270张选举人票，当选总统已成定局。 ​
		",2016-11-10
美国总统选举;2016-11-09;2016-11-08;2016-11-10;50,39,美国总统选举,2016-11-09,"
		轻松一刻。听下政客的电音神曲。#2016美国总统大选# #美国大选# #美国总统选举#
",2016-11-10
美国总统选举;2016-11-09;2016-11-08;2016-11-10;50,40,美国总统选举,2016-11-09,"
	  美国大选最终结果出炉川普赢了，这位达人把辩论录音做成了电音神曲，简直和选票比分一样有毒！当时我就笑... #满满的套路# ​
	",2016-11-10
美国总统选举;2016-11-09;2016-11-08;2016-11-10;50,41,美国总统选举,2016-11-09,"
#特朗普当选美国总统# 如果是一人一票希拉里就赢了，可惜本来是为少数人掌控政权设计的美国选举制度最后还是成就了外人，机关算尽百密一疏啊 ​
		",2016-11-10
美国总统选举;2016-11-09;2016-11-08;2016-11-10;50,42,美国总统选举,2016-11-09,"
		今年的国际大事，崩溃了俩个国家一个是英国脱欧，一个是川普当选美国总统，然而都是自己投票选举出来的，叫嚣着绝对民主的人，先提升自己的文化水平吧 |加拿大·哈... ​
		",2016-11-10
美国总统选举;2016-11-09;2016-11-08;2016-11-10;50,43,美国总统选举,2016-11-09,"
		为什么大多数关于美国总统选举的预测都错了？ |为什么大多... ​
		",2016-11-10
美国总统选举;2016-11-09;2016-11-08;2016-11-10;50,44,美国总统选举,2016-11-09,"
		连续三次美国总统选举，我支持谁谁输对不起你希拉里//@一毛不拔大师:先谈一下你挺谁谁完蛋，不分党派左右忠奸的现象吧
",2016-11-10
美国总统选举;2016-11-09;2016-11-08;2016-11-10;50,45,美国总统选举,2016-11-09,"
	  可能是选举结果出来后最重要一则新闻：川普周三给老朋友，纽约参议员，新参议院民主党领袖苏默打了电话。（当然也可能不是讨论求同存异携手治国，而是作为一名卧底老民主党员向组织报到问交党费过组织生活的事儿） ​
	",2016-11-10
美国总统选举;2016-11-09;2016-11-08;2016-11-10;50,46,美国总统选举,2016-11-09,"
		连女性都不支持她参考消息网11月10日报道 英媒称，刚刚结束的美国总统选举无疑是美国历史上最为不 >>|英媒分析希... ​
		",2016-11-10
美国总统选举;2016-11-09;2016-11-08;2016-11-10;50,47,美国总统选举,2016-11-09,"
		有人问我对川普当选美国总统有什么看法。这件事我其实没怎么关注。因为无论谁当选，政策都不会有多大的真正变化。古今中外所有人都这样，在台下时什么炮都放。上台当家后一切都循规蹈矩。政客选举时的那些话就是博眼球用的。倒也不是说全都不可能兑现，但确实是谁当真谁傻逼。 ​
		",2016-11-10
美国总统选举;2016-11-09;2016-11-08;2016-11-10;50,48,美国总统选举,2016-11-09,"
		美国东部时间8日零时（北京时间8日13时）刚过，美国新罕布什尔州迪克斯维尔山口的选民率先投票，这标志着四年一度的美国总统选举投票正式开始。（新华社） ​
		",2016-11-10
美国总统选举;2016-11-09;2016-11-08;2016-11-10;50,49,美国总统选举,2016-11-09,"
		特朗普胜选美国总统选举昭示着全球地缘政治环境将发生影响深远且巨大的变化，而特朗普激烈的政见更让全球“闻之丧胆”。但是，当特朗普真正赢了之后，情况似乎有了转变。网页链接…网页链接 ​
		",2016-11-10
美国总统选举;2016-11-09;2016-11-08;2016-11-10;50,50,美国总统选举,2016-11-09,"
#川普赢了#​四年一度的美国总统选举9日尘埃落定。共和党总统候选人特朗普当选为第58届美国总统。这个难以切割的政治时刻，是一场地震和一场余震，让美国人为之震惊，从而开启一个巨大矛盾与分裂的时代。如今这个时代走向高潮，特朗普在民调落后情况下高调胜选，开创美国总统大选先例。 ​
			...展开全文c
",2016-11-10
美国总统选举;2016-11-09;2016-11-08;2016-11-10;50,51,美国总统选举,2016-11-09,"
		回复@杏花春雨润江南:所以，你去当美国总统也是可以的。只是，美国也太蠢了，只要把选举游戏玩玩就够了，何必搞得那么隆重正经。
		",2016-11-10
美国总统选举;2016-11-09;2016-11-08;2016-11-10;50,52,美国总统选举,2016-11-09,"
	  【特朗普与朴槿惠通话赞韩国货好人也好】10日上午，特朗普与朴槿惠通电话时表示，他经营房地产多年买过很多韩货，无一不是非常过硬的产品，他在韩国有很多朋友，人都非常好。朴槿惠则在通话中表达了与美国密切合作，以遏制朝鲜挑衅的意愿。特朗普回应称，百分百同意朴槿惠的意见。韩联社（新浪） ​
	",2016-11-10
美国总统选举;2016-11-09;2016-11-08;2016-11-10;50,53,美国总统选举,2016-11-09,"
		也是一种洞见和视角。谁是美国总统我并无兴趣过多关心，我看见“阳光”至少普照了80%的选举大地，这才是最为根本，也是最为伟大的。无论谁，过去的、现在的，再伟大的领袖或团体也无权内定或影响这一根本制度。 网页链接 ​
		",2016-11-10
美国总统选举;2016-11-09;2016-11-08;2016-11-10;50,54,美国总统选举,2016-11-09,"
		美国宪法规定，美国总统并不是由美国人民一人一票直接选举的，而是由各州派出共538名议员代为行使，但是每个州的议员必须保持一致，全部投给在本州获胜的候选人，这也导致希拉里赢了直选却输了白宫。无论美国枪支怎么泛滥，阶级矛盾多么尖锐，这种制度都可以保证美国在长时间内屹立不倒，即可以平衡州 ​
			...展开全文c
",2016-11-10
美国总统选举;2016-11-09;2016-11-08;2016-11-10;50,55,美国总统选举,2016-11-09,"
		分享自神探007 《黄生：最大的黑天鹅，金融大崩盘，华尔街的失败，冬天提... - 黄生：最大的黑天鹅，金融大崩盘，华尔街的失败，冬天提前到来 今天美国总统选举结果基本已定，特朗普... (来自 @头条博客) - |黄生：最大... ​
		",2016-11-10
美国总统选举;2016-11-09;2016-11-08;2016-11-10;50,56,美国总统选举,2016-11-09,"
		科普：美国总统选举的规则囧知道的秒... ​
		",2016-11-10
美国总统选举;2016-11-09;2016-11-08;2016-11-10;50,57,美国总统选举,2016-11-09,"
@NaNaJEaY 这文章详细的介绍了美国总统选举制度
		",2016-11-10
美国总统选举;2016-11-09;2016-11-08;2016-11-10;50,58,美国总统选举,2016-11-09,"
	  【为何希拉里赢了直接选票却输了白宫？】让希拉里败选的“选举人团制度”，是美国国父们的政治发明，旨在避免多数人暴政，让小州也能发声。此次“黑天鹅”大选后，它会改革吗？|为何希拉里... ​
	",2016-11-10
美国总统选举;2016-11-09;2016-11-08;2016-11-10;50,59,美国总统选举,2016-11-09,"
		发表了一篇转载博文《[转载][转载]特朗普赢得美国总统选举》|[转载][转... ​
		",2016-11-10
美国总统选举;2016-11-09;2016-11-08;2016-11-10;50,60,美国总统选举,2016-11-09,"
		没事就说选举不具备民众基础的也是醉了，不过东亚向来崇拜强者，即便开放选举很可能也并不像美国或者欧洲。个人还是有点倾向欧式议会选举，而非美国总统选举 //@水獭otter:转发微博
		",2016-11-10
美国总统选举;2016-11-09;2016-11-08;2016-11-10;50,61,美国总统选举,2016-11-09,"
	  头条文章：《左右八卦 - 谁执牛耳》 三连发，不吐不快，写完这篇短期内不写了，恢复美食微博本色。 |左右八卦 -... ​
	",2016-11-10
美国总统选举;2016-11-09;2016-11-08;2016-11-10;50,62,美国总统选举,2016-11-09,"
		11月9日美国总统选举中，草根代表特朗普战胜精英代表希拉里。掌握很多社会资源的精英阶层，给出身并不高贵的草根阶层挑落马下。说明草根已经崛起，不可忽视。以前精英阶层利用拥有的社会资源、权力，排斥、打压草根一族。但是草根的强项就是顽强，坚韧不拔。 ​
		",2016-11-10
美国总统选举;2016-11-09;2016-11-08;2016-11-10;50,63,美国总统选举,2016-11-09,"
		中方密切关注美国总统选举引发的严重人权危机，中方继续关注事态发展，并敦促美方保持克制。中方支持美国人民为民主和自由所做的努力，强烈要求美当局正视人民诉求，维护人民基本人权。外交部说话有艺术
		",2016-11-10
美国总统选举;2016-11-09;2016-11-08;2016-11-10;50,64,美国总统选举,2016-11-09,"
#川普赢了##有趣的短视频# 川普赢了，美国各界媒体都有神马反应呢？有对选出川普而感到自豪的，但大多数是狂吐槽，直言我们会永远缅怀911，我们会永远后悔119！！哎~2016年，赶紧回家洗洗睡了吧，你真是醉得不轻啊！#ZoominTV#ZoominTV的... ​
	",2016-11-10
美国总统选举;2016-11-09;2016-11-08;2016-11-10;50,65,美国总统选举,2016-11-09,"
		【美元在特朗普获胜后有望进一步走高 - 丹斯克银行】丹斯克银行(Danske Bank)分析师Mathias Mogensen就特朗普在周三美国总统选举中获胜对美元的影响进行分析。 网页链接 ​
		",2016-11-10
美国总统选举;2016-11-09;2016-11-08;2016-11-10;50,66,美国总统选举,2016-11-09,"
		发表了博文《特朗普实现“逆袭”。这将给中美关系带来怎样的影响?》东北亚局势变数再起2016年11月10日10:14来源：凤凰国际智库文章来源：环球时报按:美国总统选举自启动以来,绝大多数主流媒体的民调|特朗普实现... ​
		",2016-11-10
美国总统选举;2016-11-09;2016-11-08;2016-11-10;50,67,美国总统选举,2016-11-09,"
		民政部门对壹基金拿百姓捐赠的善款去孝敬美国总统选举应该有个说法 //@思古堂先生://@汉大赋2013: 这些狗日的汉奸卖国贼！//@南阳谭爷:汉奸国贼
		",2016-11-10
美国总统选举;2016-11-09;2016-11-08;2016-11-10;50,68,美国总统选举,2016-11-09,"
	  该微博因被多人举报，根据《微博社区管理规定》，已被删除。查看帮助：|转发的微博...
",2016-11-10
美国总统选举;2016-11-09;2016-11-08;2016-11-10;50,69,美国总统选举,2016-11-09,"
		英媒：希拉里为什么会输掉美国总统选举？|英媒:希拉... ​
		",2016-11-10
