query,Post ID,keyword,event Date,Post Content,Post Time
美国总统选举;2016-11-09;2016-11-08;2016-11-09;50,1,美国总统选举,2016-11-09,"
		【注：真正的美国总统选举是在12月第二个星期三之后的第一个星期一举行(2016年是12月19日)。届时，各州和哥伦比亚特区被推选出的“选举人”将前往各州的首府进行投票。获270张选票以上的候选人将当选总统，并于2017年1月20日宣誓就职。如果不出意外，今天（11月9）的结果就是最终结果了】 ​
		",2016-11-9
美国总统选举;2016-11-09;2016-11-08;2016-11-09;50,2,美国总统选举,2016-11-09,"
		发表了博文《流氓大亨创普当选美国总统美国社会即将迎来前所未有的黑暗》绝对出乎任何人的意外，流氓商人当纳创普无心插柳的游戏选举居然成功，他以289票对克林顿218票，获得了2016年美国总统竞选的胜利，|流氓大亨创... ​
		",2016-11-9
美国总统选举;2016-11-09;2016-11-08;2016-11-09;50,3,美国总统选举,2016-11-09,"
		烂中选个不是最烂的，没办法的事。川普总比希拉里这个战争狂强，至于奥巴马，美国总统选举的轮回，隔5、6届总会出现这样的纯耍嘴皮子的人。 //@陶短房:他笑太早了——估计再过200年他也找不到比巴马对俄更绥靖的美国总统了//@科罗廖夫: 社会主义深吻
		",2016-11-9
美国总统选举;2016-11-09;2016-11-08;2016-11-09;50,4,美国总统选举,2016-11-09,"
	  发布了头条文章：《美国大选，特朗普赢了，普京笑了。。。》 |美国大选，... ​
	",2016-11-9
美国总统选举;2016-11-09;2016-11-08;2016-11-09;50,5,美国总统选举,2016-11-09,"
		发表了一篇转载博文《[转载]中国风水师算卦预测2016美国总统选举，特朗普将登总统宝座》|[转载]中国... ​
		",2016-11-9
美国总统选举;2016-11-09;2016-11-08;2016-11-09;50,6,美国总统选举,2016-11-09,"
		【特朗普赢得2016年美国总统选举 】 |特朗普赢得... ​
		",2016-11-9
美国总统选举;2016-11-09;2016-11-08;2016-11-09;50,7,美国总统选举,2016-11-09,"
		这是一次最可笑的美国总统选举 也可能是最民主的一次 平民的选票战胜了精英 这足以写进历史 ​
		",2016-11-9
美国总统选举;2016-11-09;2016-11-08;2016-11-09;50,8,美国总统选举,2016-11-09,"
		特朗普赢得足够的选举人票（270票），将成为美国总统。...[米尔军事] 网页链接 ​
		",2016-11-9
美国总统选举;2016-11-09;2016-11-08;2016-11-09;50,9,美国总统选举,2016-11-09,"
美国总统选举是否会影响中国经济？ （分享自 @天涯社区） 网页链接 ​
		",2016-11-9
美国总统选举;2016-11-09;2016-11-08;2016-11-09;50,10,美国总统选举,2016-11-09,"
		【科普:美国总统选举的规则】相信大家都关注了今天希拉里和特朗普的首场辩论，可以说，美国总统大选已经进入了白热化阶段。而对于这场影响世界的选举，很多人以为就是一人一票，多者取胜。但其实，它的规则没有这么简单。by囧知道 囧知道的秒... ​
		",2016-11-9
美国总统选举;2016-11-09;2016-11-08;2016-11-09;50,11,美国总统选举,2016-11-09,"
		特朗普赢得足够的选举人票（270票），将成为美国总统。...[米尔军事] 网页链接 ​
		",2016-11-9
美国总统选举;2016-11-09;2016-11-08;2016-11-09;50,12,美国总统选举,2016-11-09,"
		近段时间，美国的希拉里和特朗普由于几轮的竟选演讲PK，闹出很多笑料。让世界感觉美国最大的荒唐！这个世界真的是很多意想不到的事件，特朗普在民主党的集体堵截下，成功逆转，成为美国58任总统。尘埃落定，不论谁当选美国总统，不论他在选举的言论如何，他上台后，权力都受到制约，同时也一定会妥协 ​
			...展开全文c
",2016-11-9
美国总统选举;2016-11-09;2016-11-08;2016-11-09;50,13,美国总统选举,2016-11-09,"
美国总统选举，此刻我才意识到奥巴马下台了
		",2016-11-9
美国总统选举;2016-11-09;2016-11-08;2016-11-09;50,14,美国总统选举,2016-11-09,"
	  美国大选最终结果出炉川普赢了，这位达人把辩论录音做成了电音神曲，#满满的套路#简直和选票比分一样有毒！最神奇的秒... ​
	",2016-11-9
美国总统选举;2016-11-09;2016-11-08;2016-11-09;50,15,美国总统选举,2016-11-09,"
		本人准确预测特朗普赢得美国总统选举。
		",2016-9-29
美国总统选举;2016-11-09;2016-11-08;2016-11-09;50,16,美国总统选举,2016-11-09,"
	  本人郑重预测:希拉里会因病在竞选中后期退选，特朗普赢得美国总统选举。 ​
	",2016-11-9
美国总统选举;2016-11-09;2016-11-08;2016-11-09;50,17,美国总统选举,2016-11-09,"
美国总统选举放过多少屁，为何这次的屁特别被某些人认为香？你把别人的话太当真，这本身就是一种天真，而且美国媒体已经corrupt，被这种媒体洗脑的人，哎！
		",2016-11-9
美国总统选举;2016-11-09;2016-11-08;2016-11-09;50,18,美国总统选举,2016-11-09,"
	  转一下刘瑜的分析。 |美国·伊丽... ​
	",2016-11-9
美国总统选举;2016-11-09;2016-11-08;2016-11-09;50,19,美国总统选举,2016-11-09,"
		特朗普赢得足够的选举人票（270票），将成为美国总统。...[米尔军事] 网页链接 ​
		",2016-11-9
美国总统选举;2016-11-09;2016-11-08;2016-11-09;50,20,美国总统选举,2016-11-09,"
		特朗普当选美国总统本来和我没啥事，但是，纵观整个大选过程，有几点感受与大家分享：1.此次大选标准应该是选最差里的俩个里的1个更好的，也就是倒数第二的。此举充分证明了美国民主制度之中的选举制度的优越性，最差的人肯定不能胜任美国总统。2.如果往深了和好了的方向想，恩格斯当年也是从资本家 ​
			...展开全文c
",2016-11-9
美国总统选举;2016-11-09;2016-11-08;2016-11-09;50,21,美国总统选举,2016-11-09,"
		今天风大却该去超市买东西了，她坐在车上说:我希望世界永远和平！我很惊讶，问你怎么会有这么大的愿望?她说那就小一点吧，我希望这个地区都和平……/@推背圖研究:#推背图# #推背图研究# 本屆美國總統選舉的結果，是否也是一次人類非常愚蠢的選擇？
",2016-1-12
美国总统选举;2016-11-09;2016-11-08;2016-11-09;50,22,美国总统选举,2016-11-09,"
#推背图# |#推背图研究# 康德〔Immanuel Kant〕在《論永久和平》中認為「世界最終會以兩種途徑實現永久和平：通過人類的大徹大悟；或通過巨大的衝突和災難，其巨大程度已經讓人類再無選擇。」從《推背圖》及其他預言的表達上看，人類非常愚蠢的選擇了后者才得以實現永久的和平。 ​
	",2016-11-9
